name,gender,probability
Mohammad,M,0.12
Ahmad,M,0.085
Abdul,M,0.075
Rashid,M,0.065
Hamid,M,0.06
Karim,M,0.055
Rahman,M,0.05
Mahmoud,M,0.048
Noor,M,0.045
Habib,M,0.042
Ghulam,M,0.04
Jawad,M,0.038
Bilal,M,0.036
Rahim,M,0.034
Hashem,M,0.032
Farid,M,0.03
Walid,M,0.028
Aziz,M,0.027
Najib,M,0.026
Qasim,M,0.025
Hafiz,M,0.024
Zia,M,0.023
Amir,M,0.022
Khalid,M,0.021
Wali,M,0.02
Mirwais,M,0.019
Latif,M,0.018
Taj,M,0.017
Wahid,M,0.016
Saeed,M,0.015
Fatima,F,0.09
Mariam,F,0.08
Zainab,F,0.07
Ayesha,F,0.065
Hawa,F,0.06
Khadija,F,0.055
Bibi,F,0.05
Parween,F,0.045
Laila,F,0.042
Soraya,F,0.04
Nadia,F,0.038
Jamila,F,0.036
Rabia,F,0.034
Fawzia,F,0.032
Zahra,F,0.03
Amina,F,0.028
Gulalai,F,0.027
Rahima,F,0.026
Nasrin,F,0.025
Frozan,F,0.024
Wahida,F,0.023
Masooda,F,0.022
Palwasha,F,0.021
Shukria,F,0.02
Habiba,F,0.019
Sitara,F,0.018
Zarghuna,F,0.017
Madina,F,0.016
Fariba,F,0.015
Roya,F,0.014
