name,gender,probability
Jose,M,0.065
Antonio,M,0.06
Joao,M,0.055
Manuel,M,0.05
Paulo,M,0.048
Carlos,M,0.045
Francisco,M,0.042
Pedro,M,0.04
Luis,M,0.038
Fernando,M,0.036
Augusto,M,0.034
Alberto,M,0.032
Domingos,M,0.03
Jorge,M,0.028
Mario,M,0.027
Miguel,M,0.026
Eduardo,M,0.025
Ricardo,M,0.024
Adao,M,0.023
Andre,M,0.022
Tomas,M,0.021
Samuel,M,0.02
Daniel,M,0.019
Mateus,M,0.018
Agostinho,M,0.017
Emanuel,M,0.016
Simao,M,0.015
Bernardo,M,0.014
Rafael,M,0.013
David,M,0.012
Maria,F,0.075
Ana,F,0.065
Isabel,F,0.06
Teresa,F,0.055
Rosa,F,0.05
Beatriz,F,0.048
Joana,F,0.045
Fernanda,F,0.042
Sofia,F,0.04
Paula,F,0.038
Clara,F,0.036
Carla,F,0.034
Catarina,F,0.032
Angela,F,0.03
Lucia,F,0.028
Rita,F,0.027
Marta,F,0.026
Patricia,F,0.025
Julia,F,0.024
Helena,F,0.023
Cristina,F,0.022
Margarida,F,0.021
Ines,F,0.02
Conceicao,F,0.019
Filomena,F,0.018
Josefina,F,0.017
Albertina,F,0.016
Esperanca,F,0.015
Domingas,F,0.014
Laurinda,F,0.013
