name,gender,probability
Mohammad,M,0.11
Abdullah,M,0.08
Rahim,M,0.065
Rahman,M,0.06
Karim,M,0.055
Hasan,M,0.05
Hossain,M,0.048
Alam,M,0.045
Islam,M,0.042
Miah,M,0.04
Mahmud,M,0.038
Kabir,M,0.036
Salim,M,0.034
Ahmed,M,0.032
Rashed,M,0.03
Shakil,M,0.028
Ripon,M,0.027
Sohel,M,0.026
Mizan,M,0.025
Rubel,M,0.024
Arif,M,0.023
Taher,M,0.022
Aziz,M,0.021
Jubair,M,0.02
Saiful,M,0.019
Jahid,M,0.018
Masud,M,0.017
Billal,M,0.016
Limon,M,0.015
Sumon,M,0.014
Fatema,F,0.09
Ayesha,F,0.075
Khadija,F,0.065
Jannatul,F,0.06
Nusrat,F,0.055
Sultana,F,0.05
Tasnim,F,0.045
Sadia,F,0.042
Rupa,F,0.04
Akter,F,0.038
Rani,F,0.036
Parveen,F,0.034
Sharmin,F,0.032
Bristy,F,0.03
Mim,F,0.028
Tahmina,F,0.027
Rima,F,0.026
Shanta,F,0.025
Shahnaz,F,0.024
Rehana,F,0.023
Nasrin,F,0.022
Salma,F,0.021
Roksana,F,0.02
Munni,F,0.019
Sumi,F,0.018
Shapla,F,0.017
Rumana,F,0.016
Tania,F,0.015
Faria,F,0.014
Sabina,F,0.013
