name,gender,probability
Jean,M,0.065
Joseph,M,0.06
Emmanuel,M,0.055
Jacques,M,0.05
Pierre,M,0.048
Paul,M,0.045
David,M,0.042
Michel,M,0.04
Patrick,M,0.038
Christian,M,0.036
Daniel,M,0.034
Antoine,M,0.032
Pascal,M,0.03
Francois,M,0.028
Marc,M,0.027
Andre,M,0.026
Claude,M,0.025
Blaise,M,0.024
Lambert,M,0.023
Celestin,M,0.022
Dieudonne,M,0.021
Desire,M,0.02
Felix,M,0.019
Gabriel,M,0.018
Isaac,M,0.017
Joel,M,0.016
Leon,M,0.015
Martin,M,0.014
Nicolas,M,0.013
Simon,M,0.012
Marie,F,0.08
Jeanne,F,0.07
Elisabeth,F,0.065
Catherine,F,0.06
Therese,F,0.055
Grace,F,0.05
Francoise,F,0.048
Christine,F,0.045
Sylvie,F,0.042
Angele,F,0.04
Bernadette,F,0.038
Henriette,F,0.036
Josephine,F,0.034
Antoinette,F,0.032
Cecile,F,0.03
Veronique,F,0.028
Chantal,F,0.027
Denise,F,0.026
Louise,F,0.025
Marguerite,F,0.024
Pauline,F,0.023
Beatrice,F,0.022
Julienne,F,0.021
Monique,F,0.02
Odette,F,0.019
Pascaline,F,0.018
Solange,F,0.017
Brigitte,F,0.016
Colette,F,0.015
Germaine,F,0.014
