name,gender,probability
Noah,M,0.05
Matteo,M,0.048
Leon,M,0.045
Elias,M,0.042
Finn,M,0.04
Paul,M,0.038
Ben,M,0.036
Luca,M,0.034
Jonas,M,0.032
Felix,M,0.03
Lukas,M,0.028
Emil,M,0.027
Theo,M,0.026
Henry,M,0.025
Anton,M,0.024
Maximilian,M,0.023
Alexander,M,0.022
Jakob,M,0.021
David,M,0.02
Moritz,M,0.019
Oskar,M,0.018
Julian,M,0.017
Leo,M,0.016
Tim,M,0.015
Tobias,M,0.014
Johannes,M,0.013
Simon,M,0.012
Niklas,M,0.011
Sebastian,M,0.01
Michael,M,0.009
Emma,F,0.052
Mia,F,0.05
Sophia,F,0.048
Hannah,F,0.045
Emilia,F,0.042
Anna,F,0.04
Lina,F,0.038
Mila,F,0.036
Marie,F,0.034
Lena,F,0.032
Lea,F,0.03
Clara,F,0.028
Ella,F,0.027
Lara,F,0.026
Luisa,F,0.025
Amelie,F,0.024
Charlotte,F,0.023
Julia,F,0.022
Nora,F,0.021
Johanna,F,0.02
Laura,F,0.019
Frieda,F,0.018
Ida,F,0.017
Mathilda,F,0.016
Emily,F,0.015
Lotte,F,0.014
Paula,F,0.013
Sarah,F,0.012
Lisa,F,0.011
Sophie,F,0.01
