name,gender,probability
Mohamed,M,0.11
Ahmed,M,0.09
Abdelkader,M,0.075
Ali,M,0.07
Youcef,M,0.065
Karim,M,0.06
Rachid,M,0.055
Sofiane,M,0.05
Mehdi,M,0.048
Amine,M,0.045
Hamza,M,0.042
Said,M,0.04
Ibrahim,M,0.038
Omar,M,0.036
Bilal,M,0.034
Riad,M,0.032
Farid,M,0.03
Walid,M,0.028
Tarek,M,0.027
Nabil,M,0.026
Hicham,M,0.025
Adel,M,0.024
Yasser,M,0.023
Amir,M,0.022
Aymen,M,0.021
Djamel,M,0.02
Redouane,M,0.019
Fares,M,0.018
Mourad,M,0.017
Samir,M,0.016
Fatima,F,0.085
Khadija,F,0.075
Amina,F,0.07
Aicha,F,0.065
Zainab,F,0.06
Imane,F,0.055
Samira,F,0.05
Sara,F,0.048
Meriem,F,0.045
Asma,F,0.042
Nadia,F,0.04
Leila,F,0.038
Yasmine,F,0.036
Karima,F,0.034
Salima,F,0.032
Houria,F,0.03
Rahma,F,0.028
Sabrina,F,0.027
Zineb,F,0.026
Soumia,F,0.025
Nour,F,0.024
Warda,F,0.023
Halima,F,0.022
Farida,F,0.021
Saliha,F,0.02
Fatna,F,0.019
Messaouda,F,0.018
Bahia,F,0.017
Zohra,F,0.016
Malika,F,0.015
