name,gender,probability
Mohamed,M,0.12
Ahmed,M,0.09
Mahmoud,M,0.075
Youssef,M,0.065
Ali,M,0.06
Omar,M,0.055
Mustafa,M,0.05
Hassan,M,0.048
Ibrahim,M,0.045
Khaled,M,0.042
Hamza,M,0.04
Adam,M,0.038
Karim,M,0.036
Hussein,M,0.034
Yassin,M,0.032
Taha,M,0.03
Bilal,M,0.028
Tareq,M,0.027
Adel,M,0.026
Samir,M,0.025
Amr,M,0.024
Sherif,M,0.023
Basel,M,0.022
Nour,M,0.021
Ramy,M,0.02
Essam,M,0.019
Hany,M,0.018
Magdy,M,0.017
Wael,M,0.016
Mina,M,0.015
Fatma,F,0.085
Maryam,F,0.08
Aya,F,0.075
Sara,F,0.07
Nour,F,0.065
Hagar,F,0.06
Mariam,F,0.055
Farida,F,0.05
Malak,F,0.048
Salma,F,0.045
Habiba,F,0.042
Nada,F,0.04
Reem,F,0.038
Yasmin,F,0.036
Shahd,F,0.034
Hana,F,0.032
Jana,F,0.03
Layla,F,0.028
Farah,F,0.027
Noran,F,0.026
Maha,F,0.025
Amira,F,0.024
Heba,F,0.023
Dina,F,0.022
Rana,F,0.021
Sahar,F,0.02
Noha,F,0.019
Ghada,F,0.018
Dalia,F,0.017
Hoda,F,0.016
