name,gender,probability
Liam,M,0.048
Noah,M,0.045
Oliver,M,0.042
Ethan,M,0.04
Lucas,M,0.038
Jack,M,0.036
Benjamin,M,0.034
Logan,M,0.032
Jackson,M,0.03
William,M,0.028
James,M,0.027
Alexander,M,0.026
Owen,M,0.025
Jacob,M,0.024
Leo,M,0.023
Levi,M,0.022
Thomas,M,0.021
Wyatt,M,0.02
Samuel,M,0.019
Henry,M,0.018
Theodore,M,0.017
Mason,M,0.016
Daniel,M,0.015
Matthew,M,0.014
Carter,M,0.013
Nathan,M,0.012
Hudson,M,0.011
Max,M,0.01
Aiden,M,0.009
Dylan,M,0.008
Olivia,F,0.048
Emma,F,0.045
Charlotte,F,0.042
Amelia,F,0.04
Sophia,F,0.038
Ava,F,0.036
Chloe,F,0.034
Mia,F,0.032
Emily,F,0.03
Sophie,F,0.028
Ella,F,0.027
Lily,F,0.026
Aria,F,0.025
Abigail,F,0.024
Grace,F,0.023
Harper,F,0.022
Evelyn,F,0.021
Scarlett,F,0.02
Zoe,F,0.019
Madison,F,0.018
Hannah,F,0.017
Isla,F,0.016
Maya,F,0.015
Avery,F,0.014
Ella,F,0.013
Alice,F,0.012
Brooklyn,F,0.011
Mila,F,0.01
Luna,F,0.009
Nora,F,0.008
