name,gender,probability
Muhammad,M,0.055
Noah,M,0.05
Oliver,M,0.048
George,M,0.045
Arthur,M,0.042
Harry,M,0.04
Jack,M,0.038
Leo,M,0.036
Oscar,M,0.034
Charlie,M,0.032
Freddie,M,0.03
Henry,M,0.028
Archie,M,0.027
Alfie,M,0.026
Theo,M,0.025
Thomas,M,0.024
William,M,0.023
Jacob,M,0.022
Joshua,M,0.021
James,M,0.02
Luca,M,0.019
Max,M,0.018
Alexander,M,0.017
Edward,M,0.016
Daniel,M,0.015
Samuel,M,0.014
Lucas,M,0.013
Ethan,M,0.012
Mason,M,0.011
Logan,M,0.01
Olivia,F,0.055
Amelia,F,0.05
Lily,F,0.048
Isla,F,0.045
Ivy,F,0.042
Freya,F,0.04
Florence,F,0.038
Poppy,F,0.036
Ava,F,0.034
Elsie,F,0.032
Mia,F,0.03
Sophia,F,0.028
Ella,F,0.027
Grace,F,0.026
Emily,F,0.025
Isabella,F,0.024
Evie,F,0.023
Rosie,F,0.022
Willow,F,0.021
Sienna,F,0.02
Daisy,F,0.019
Sophie,F,0.018
Charlotte,F,0.017
Alice,F,0.016
Matilda,F,0.015
Phoebe,F,0.014
Harper,F,0.013
Millie,F,0.012
Emma,F,0.011
Ruby,F,0.01
