name,gender,probability
Liam,M,0.045
Noah,M,0.043
Oliver,M,0.041
James,M,0.04
Elijah,M,0.038
William,M,0.036
Henry,M,0.034
Lucas,M,0.032
Benjamin,M,0.03
Theodore,M,0.028
Jack,M,0.027
Levi,M,0.026
Alexander,M,0.025
Jackson,M,0.024
Mateo,M,0.023
Daniel,M,0.022
Michael,M,0.021
Mason,M,0.02
Sebastian,M,0.019
Ethan,M,0.018
Logan,M,0.017
Owen,M,0.016
Samuel,M,0.015
Jacob,M,0.014
Asher,M,0.013
Aiden,M,0.012
John,M,0.011
Joseph,M,0.01
Wyatt,M,0.009
David,M,0.008
Olivia,F,0.045
Emma,F,0.043
Charlotte,F,0.041
Amelia,F,0.04
Sophia,F,0.038
Isabella,F,0.036
Ava,F,0.034
Mia,F,0.032
Evelyn,F,0.03
Luna,F,0.028
Harper,F,0.027
Camila,F,0.026
Sofia,F,0.025
Scarlett,F,0.024
Elizabeth,F,0.023
Eleanor,F,0.022
Emily,F,0.021
Chloe,F,0.02
Mila,F,0.019
Violet,F,0.018
Penelope,F,0.017
Gianna,F,0.016
Aria,F,0.015
Abigail,F,0.014
Ella,F,0.013
Avery,F,0.012
Hazel,F,0.011
Nora,F,0.01
Layla,F,0.009
Lily,F,0.008
