name,gender,probability
Mateo,M,0.055
Santiago,M,0.05
Benjamin,M,0.048
Lucas,M,0.045
Tomas,M,0.042
Juan,M,0.04
Nicolas,M,0.038
Francisco,M,0.036
Lautaro,M,0.034
Agustin,M,0.032
Joaquin,M,0.03
Emiliano,M,0.028
Thiago,M,0.027
Felipe,M,0.026
Ignacio,M,0.025
Martin,M,0.024
Facundo,M,0.023
Maximo,M,0.022
Bautista,M,0.021
Valentino,M,0.02
Beltran,M,0.019
Manuel,M,0.018
Pedro,M,0.017
Gonzalo,M,0.016
Fernando,M,0.015
Diego,M,0.014
Sebastian,M,0.013
Gabriel,M,0.012
Marcelo,M,0.011
Federico,M,0.01
Sofia,F,0.055
Emma,F,0.05
Martina,F,0.048
Isabella,F,0.045
Catalina,F,0.042
Valentina,F,0.04
Mia,F,0.038
Emilia,F,0.036
Juana,F,0.034
Lucia,F,0.032
Olivia,F,0.03
Maria,F,0.028
Delfina,F,0.027
Micaela,F,0.026
Agustina,F,0.025
Lola,F,0.024
Camila,F,0.023
Josefina,F,0.022
Julieta,F,0.021
Victoria,F,0.02
Florencia,F,0.019
Paula,F,0.018
Antonella,F,0.017
Carolina,F,0.016
Natalia,F,0.015
Laura,F,0.014
Andrea,F,0.013
Gabriela,F,0.012
Mariana,F,0.011
Soledad,F,0.01
