name,gender,probability
Juan,M,0.07
Carlos,M,0.065
Andres,M,0.06
Santiago,M,0.055
Sebastian,M,0.05
David,M,0.048
Daniel,M,0.045
Camilo,M,0.042
Diego,M,0.04
Luis,M,0.038
Miguel,M,0.036
Alejandro,M,0.034
Felipe,M,0.032
Mateo,M,0.03
Nicolas,M,0.028
Jorge,M,0.027
Oscar,M,0.026
Jose,M,0.025
Javier,M,0.024
Julian,M,0.023
Ricardo,M,0.022
Sergio,M,0.021
Esteban,M,0.02
Cristian,M,0.019
Martin,M,0.018
Samuel,M,0.017
Pedro,M,0.016
Manuel,M,0.015
Rafael,M,0.014
Emilio,M,0.013
Maria,F,0.075
Laura,F,0.07
Valentina,F,0.065
Camila,F,0.06
Daniela,F,0.055
Andrea,F,0.05
Sofia,F,0.048
Alejandra,F,0.045
Carolina,F,0.042
Natalia,F,0.04
Paula,F,0.038
Ana,F,0.036
Diana,F,0.034
Juliana,F,0.032
Catalina,F,0.03
Isabella,F,0.028
Gabriela,F,0.027
Manuela,F,0.026
Salome,F,0.025
Mariana,F,0.024
Luisa,F,0.023
Sandra,F,0.022
Monica,F,0.021
Claudia,F,0.02
Angela,F,0.019
Marcela,F,0.018
Adriana,F,0.017
Paola,F,0.016
Liliana,F,0.015
Melissa,F,0.014
