name,gender,probability
Hugo,M,0.055
Martin,M,0.05
Lucas,M,0.048
Mateo,M,0.045
Leo,M,0.042
Daniel,M,0.04
Alejandro,M,0.038
Pablo,M,0.036
Manuel,M,0.034
Alvaro,M,0.032
Adrian,M,0.03
David,M,0.028
Enzo,M,0.027
Diego,M,0.026
Marco,M,0.025
Antonio,M,0.024
Javier,M,0.023
Thiago,M,0.022
Carlos,M,0.021
Mario,M,0.02
Jose,M,0.019
Miguel,M,0.018
Sergio,M,0.017
Angel,M,0.016
Raul,M,0.015
Marc,M,0.014
Francisco,M,0.013
Ivan,M,0.012
Jorge,M,0.011
Rafael,M,0.01
Lucia,F,0.055
Sofia,F,0.05
Maria,F,0.048
Martina,F,0.045
Julia,F,0.042
Paula,F,0.04
Emma,F,0.038
Valeria,F,0.036
Daniela,F,0.034
Alba,F,0.032
Carmen,F,0.03
Sara,F,0.028
Laia,F,0.027
Carla,F,0.026
Claudia,F,0.025
Alma,F,0.024
Noa,F,0.023
Olivia,F,0.022
Ines,F,0.021
Marta,F,0.02
Ana,F,0.019
Laura,F,0.018
Elena,F,0.017
Candela,F,0.016
Adriana,F,0.015
Irene,F,0.014
Vega,F,0.013
Marina,F,0.012
Cristina,F,0.011
Isabel,F,0.01
