name,gender,probability
Jose,M,0.075
Luis,M,0.07
Juan,M,0.065
Carlos,M,0.06
Miguel,M,0.055
Jesus,M,0.05
Antonio,M,0.048
Francisco,M,0.045
Alejandro,M,0.042
Pedro,M,0.04
Manuel,M,0.038
Javier,M,0.036
Fernando,M,0.034
David,M,0.032
Daniel,M,0.03
Jorge,M,0.028
Ricardo,M,0.027
Roberto,M,0.026
Rafael,M,0.025
Eduardo,M,0.024
Angel,M,0.023
Oscar,M,0.022
Sergio,M,0.021
Arturo,M,0.02
Raul,M,0.019
Enrique,M,0.018
Marco,M,0.017
Gerardo,M,0.016
Diego,M,0.015
Hector,M,0.014
Maria,F,0.09
Guadalupe,F,0.07
Josefina,F,0.06
Juana,F,0.055
Rosa,F,0.05
Ana,F,0.048
Patricia,F,0.045
Carmen,F,0.042
Margarita,F,0.04
Veronica,F,0.038
Claudia,F,0.036
Martha,F,0.034
Adriana,F,0.032
Sandra,F,0.03
Laura,F,0.028
Gabriela,F,0.027
Leticia,F,0.026
Monica,F,0.025
Alejandra,F,0.024
Elizabeth,F,0.023
Silvia,F,0.022
Teresa,F,0.021
Daniela,F,0.02
Sofia,F,0.019
Andrea,F,0.018
Fernanda,F,0.017
Paola,F,0.016
Carolina,F,0.015
Beatriz,F,0.014
Lorena,F,0.013
