name,gender,probability
Mohammed,M,0.075
Abebe,M,0.065
Tadesse,M,0.06
Dawit,M,0.055
Yohannes,M,0.05
Tesfaye,M,0.048
Daniel,M,0.045
Solomon,M,0.042
Samuel,M,0.04
Kebede,M,0.038
Bekele,M,0.036
Ali,M,0.034
Haile,M,0.032
Girma,M,0.03
Getachew,M,0.028
Mekonnen,M,0.027
Negash,M,0.026
Alemayehu,M,0.025
Mulugeta,M,0.024
Tsegaye,M,0.023
Berhanu,M,0.022
Abraham,M,0.021
Eyob,M,0.02
Yared,M,0.019
Berhe,M,0.018
Amare,M,0.017
Sisay,M,0.016
Gebre,M,0.015
Worku,M,0.014
Tekle,M,0.013
Fatuma,F,0.07
Marta,F,0.065
Almaz,F,0.06
Tigist,F,0.055
Hanna,F,0.05
Rahel,F,0.048
Sara,F,0.045
Selamawit,F,0.042
Meseret,F,0.04
Aynalem,F,0.038
Beza,F,0.036
Sosena,F,0.034
Birtukan,F,0.032
Zenebech,F,0.03
Alem,F,0.028
Tsehay,F,0.027
Mulu,F,0.026
Desta,F,0.025
Aster,F,0.024
Yeshi,F,0.023
Zewditu,F,0.022
Sihin,F,0.021
Mihret,F,0.02
Addisalem,F,0.019
Meron,F,0.018
Eden,F,0.017
Lidiya,F,0.016
Bethlehem,F,0.015
Gelila,F,0.014
Nardos,F,0.013
