name,gender,probability
Gabriel,M,0.055
Leo,M,0.05
Raphael,M,0.048
Louis,M,0.045
Lucas,M,0.042
Adam,M,0.04
Arthur,M,0.038
Hugo,M,0.036
Jules,M,0.034
Mael,M,0.032
Noah,M,0.03
Nathan,M,0.028
Ethan,M,0.027
Paul,M,0.026
Tom,M,0.025
Mathis,M,0.024
Nolan,M,0.023
Theo,M,0.022
Maxime,M,0.021
Alexandre,M,0.02
Antoine,M,0.019
Pierre,M,0.018
Mohamed,M,0.017
Clement,M,0.016
Thomas,M,0.015
Nicolas,M,0.014
Julien,M,0.013
Romain,M,0.012
Olivier,M,0.011
Jean,M,0.01
Emma,F,0.055
Louise,F,0.05
Jade,F,0.048
Alice,F,0.045
Chloe,F,0.042
Lina,F,0.04
Mila,F,0.038
Lea,F,0.036
Manon,F,0.034
Rose,F,0.032
Anna,F,0.03
Inès,F,0.028
Julia,F,0.027
Camille,F,0.026
Sarah,F,0.025
Zoe,F,0.024
Juliette,F,0.023
Clara,F,0.022
Lola,F,0.021
Ambre,F,0.02
Mathilde,F,0.019
Romane,F,0.018
Oceane,F,0.017
Charlotte,F,0.016
Eva,F,0.015
Marie,F,0.014
Luna,F,0.013
Nina,F,0.012
Noemie,F,0.011
Margaux,F,0.01
