name,gender,probability
Muhammad,M,0.12
Ahmad,M,0.08
Rizki,M,0.055
Agus,M,0.05
Budi,M,0.045
Andi,M,0.042
Dedi,M,0.04
Eko,M,0.038
Fajar,M,0.036
Hendra,M,0.034
Irwan,M,0.032
Joko,M,0.03
Adi,M,0.028
Yoga,M,0.026
Arif,M,0.025
Bambang,M,0.024
Yusuf,M,0.023
Rudi,M,0.022
Fikri,M,0.021
Aditya,M,0.02
Dimas,M,0.019
Wisnu,M,0.018
Bayu,M,0.017
Ilham,M,0.016
Bagus,M,0.015
Aziz,M,0.014
Satria,M,0.013
Hakim,M,0.012
Fahmi,M,0.011
Dhani,M,0.01
Siti,F,0.09
Dewi,F,0.07
Nur,F,0.06
Ayu,F,0.055
Indah,F,0.05
Rini,F,0.045
Wati,F,0.042
Lestari,F,0.04
Sri,F,0.038
Yuni,F,0.036
Fitri,F,0.034
Ika,F,0.032
Anisa,F,0.03
Rina,F,0.028
Putri,F,0.027
Ratna,F,0.026
Maya,F,0.025
Dian,F,0.024
Nadia,F,0.023
Sari,F,0.022
Nia,F,0.021
Tuti,F,0.02
Dwi,F,0.019
Laila,F,0.018
Zahra,F,0.017
Kartika,F,0.016
Mega,F,0.015
Intan,F,0.014
Vina,F,0.013
Aulia,F,0.012
