name,gender,probability
Aarav,M,0.06
Arjun,M,0.055
Vivaan,M,0.05
Aditya,M,0.045
Aryan,M,0.04
Sai,M,0.04
Krishna,M,0.038
Shiv,M,0.035
Rohan,M,0.033
Reyansh,M,0.032
Ayaan,M,0.03
Vihaan,M,0.03
Aadhya,M,0.028
Pranav,M,0.027
Ishaan,M,0.026
Advait,M,0.025
Ansh,M,0.024
Ved,M,0.023
Rudra,M,0.022
Kabir,M,0.021
Arnav,M,0.02
Dev,M,0.02
Atharv,M,0.019
Dhruv,M,0.018
Kiaan,M,0.017
Arav,M,0.016
Om,M,0.015
Ravi,M,0.015
Karan,M,0.014
Yash,M,0.013
Aadhya,F,0.055
Ananya,F,0.052
Diya,F,0.05
Pari,F,0.045
Anika,F,0.043
Saanvi,F,0.04
Sara,F,0.038
Angel,F,0.036
Navya,F,0.035
Avni,F,0.033
Aarohi,F,0.032
Riya,F,0.03
Kiara,F,0.029
Ishani,F,0.028
Myra,F,0.027
Aditi,F,0.026
Prisha,F,0.025
Anvi,F,0.024
Shanaya,F,0.023
Tara,F,0.022
Zara,F,0.021
Khushi,F,0.02
Meera,F,0.02
Siya,F,0.019
Ira,F,0.018
Shriya,F,0.017
Lakshmi,F,0.016
Radha,F,0.015
Sana,F,0.014
Nisha,F,0.013
