name,gender,probability
Mohammed,M,0.11
Ali,M,0.095
Hussein,M,0.08
Hassan,M,0.07
Ahmad,M,0.065
Omar,M,0.06
Khalid,M,0.055
Abdullah,M,0.05
Mustafa,M,0.048
Ibrahim,M,0.045
Karim,M,0.042
Tariq,M,0.04
Saad,M,0.038
Majid,M,0.036
Rashid,M,0.034
Qasim,M,0.032
Hamza,M,0.03
Jassim,M,0.028
Salim,M,0.027
Haider,M,0.026
Walid,M,0.025
Yasser,M,0.024
Adil,M,0.023
Fadhil,M,0.022
Basil,M,0.021
Nabil,M,0.02
Jasim,M,0.019
Sami,M,0.018
Rami,M,0.017
Faris,M,0.016
Zahra,F,0.085
Fatima,F,0.08
Zainab,F,0.075
Mariam,F,0.07
Noor,F,0.065
Sara,F,0.06
Aya,F,0.055
Huda,F,0.05
Reem,F,0.048
Layla,F,0.045
Hala,F,0.042
Maha,F,0.04
Dina,F,0.038
Safa,F,0.036
Lina,F,0.034
Nada,F,0.032
Yasmin,F,0.03
Hanin,F,0.028
Rania,F,0.027
Samira,F,0.026
Amal,F,0.025
Nour,F,0.024
Duaa,F,0.023
Rahma,F,0.022
Suha,F,0.021
Dalal,F,0.02
Wafa,F,0.019
Shahd,F,0.018
Bushra,F,0.017
Najwa,F,0.016
