name,gender,probability
Mohammad,M,0.1
Ali,M,0.09
Hassan,M,0.07
Hossein,M,0.065
Reza,M,0.06
Mehdi,M,0.055
Ahmad,M,0.05
Amir,M,0.048
Hamid,M,0.045
Majid,M,0.042
Mahmoud,M,0.04
Abbas,M,0.038
Morteza,M,0.036
Javad,M,0.034
Saeed,M,0.032
Mehrdad,M,0.03
Hadi,M,0.028
Ebrahim,M,0.027
Mostafa,M,0.026
Masoud,M,0.025
Behzad,M,0.024
Farhad,M,0.023
Arash,M,0.022
Sohrab,M,0.021
Babak,M,0.02
Kaveh,M,0.019
Omid,M,0.018
Farshad,M,0.017
Amin,M,0.016
Sina,M,0.015
Fatemeh,F,0.085
Zahra,F,0.075
Maryam,F,0.07
Zeinab,F,0.065
Narges,F,0.06
Somayeh,F,0.055
Masoumeh,F,0.05
Mahsa,F,0.045
Marjan,F,0.042
Sara,F,0.04
Niloofar,F,0.038
Parisa,F,0.036
Elham,F,0.034
Azadeh,F,0.032
Leila,F,0.03
Sahar,F,0.028
Nasrin,F,0.027
Shirin,F,0.026
Mina,F,0.025
Nazanin,F,0.024
Atefeh,F,0.023
Mitra,F,0.022
Farzaneh,F,0.021
Tahereh,F,0.02
Roya,F,0.019
Mandana,F,0.018
Ziba,F,0.017
Sima,F,0.016
Laleh,F,0.015
Golnaz,F,0.014
