name,gender,probability
Leonardo,M,0.06
Francesco,M,0.055
Alessandro,M,0.05
Lorenzo,M,0.048
Mattia,M,0.045
Tommaso,M,0.042
Gabriele,M,0.04
Andrea,M,0.038
Riccardo,M,0.036
Edoardo,M,0.034
Matteo,M,0.032
Giuseppe,M,0.03
Antonio,M,0.028
Marco,M,0.027
Luca,M,0.026
Davide,M,0.025
Giovanni,M,0.024
Nicolo,M,0.023
Filippo,M,0.022
Pietro,M,0.021
Federico,M,0.02
Simone,M,0.019
Diego,M,0.018
Samuele,M,0.017
Christian,M,0.016
Michele,M,0.015
Emanuele,M,0.014
Giulio,M,0.013
Paolo,M,0.012
Stefano,M,0.011
Sofia,F,0.055
Giulia,F,0.05
Aurora,F,0.048
Alice,F,0.045
Ginevra,F,0.042
Emma,F,0.04
Giorgia,F,0.038
Greta,F,0.036
Beatrice,F,0.034
Anna,F,0.032
Chiara,F,0.03
Vittoria,F,0.028
Matilde,F,0.027
Martina,F,0.026
Nicole,F,0.025
Francesca,F,0.024
Sara,F,0.023
Alessia,F,0.022
Arianna,F,0.021
Elisa,F,0.02
Elena,F,0.019
Valentina,F,0.018
Camilla,F,0.017
Ludovica,F,0.016
Bianca,F,0.015
Rebecca,F,0.014
Laura,F,0.013
Silvia,F,0.012
Gaia,F,0.011
Cecilia,F,0.01
