name,gender,probability
Hiroshi,M,0.055
Takashi,M,0.05
Yuki,M,0.045
Haruto,M,0.042
Sota,M,0.04
Yuto,M,0.038
Riku,M,0.036
Minato,M,0.034
Kaito,M,0.032
Yuuto,M,0.03
Hayato,M,0.028
Tatsuya,M,0.027
Kenji,M,0.026
Daisuke,M,0.025
Yuta,M,0.024
Masato,M,0.023
Shota,M,0.022
Ryota,M,0.021
Kenta,M,0.02
Akira,M,0.019
Makoto,M,0.018
Toshiro,M,0.017
Yuji,M,0.016
Naoki,M,0.015
Satoshi,M,0.014
Kazuki,M,0.013
Ren,M,0.012
Daiki,M,0.011
Kouki,M,0.01
Tomoya,M,0.009
Yui,F,0.055
Hina,F,0.05
Sakura,F,0.048
Aoi,F,0.045
Miyu,F,0.042
Yuna,F,0.04
Hana,F,0.038
Rin,F,0.036
Mei,F,0.034
Mio,F,0.032
Akari,F,0.03
Yuki,F,0.028
Saki,F,0.027
Nanami,F,0.026
Ayaka,F,0.025
Haruka,F,0.024
Ema,F,0.023
Nana,F,0.022
Mana,F,0.021
Riko,F,0.02
Koharu,F,0.019
Yuzuki,F,0.018
Himari,F,0.017
Tsubaki,F,0.016
Misaki,F,0.015
Honoka,F,0.014
Airi,F,0.013
Kana,F,0.012
Yuria,F,0.011
Shiori,F,0.01
