name,gender,probability
John,M,0.065
James,M,0.06
Peter,M,0.055
Joseph,M,0.05
David,M,0.048
Daniel,M,0.045
Paul,M,0.042
Samuel,M,0.04
Michael,M,0.038
Stephen,M,0.036
Simon,M,0.034
Francis,M,0.032
Patrick,M,0.03
Evans,M,0.028
Dennis,M,0.027
Geoffrey,M,0.026
Brian,M,0.025
Kevin,M,0.024
Eric,M,0.023
Martin,M,0.022
George,M,0.021
Mark,M,0.02
Emmanuel,M,0.019
Timothy,M,0.018
Kenneth,M,0.017
Moses,M,0.016
Collins,M,0.015
Andrew,M,0.014
Benjamin,M,0.013
Antony,M,0.012
Mary,F,0.065
Jane,F,0.06
Grace,F,0.055
Lucy,F,0.05
Margaret,F,0.048
Faith,F,0.045
Catherine,F,0.042
Rose,F,0.04
Joyce,F,0.038
Agnes,F,0.036
Sarah,F,0.034
Ann,F,0.032
Ruth,F,0.03
Esther,F,0.028
Monica,F,0.027
Betty,F,0.026
Florence,F,0.025
Wanjiru,F,0.024
Njeri,F,0.023
Wambui,F,0.022
Mercy,F,0.021
Eunice,F,0.02
Beatrice,F,0.019
Caroline,F,0.018
Nancy,F,0.017
Susan,F,0.016
Rebecca,F,0.015
Christine,F,0.014
Diana,F,0.013
Lydia,F,0.012
