name,gender,probability
Min-jun,M,0.055
Seo-jun,M,0.05
Ji-hu,M,0.048
Do-yoon,M,0.045
Ha-joon,M,0.042
Joon-woo,M,0.04
Ye-jun,M,0.038
Si-woo,M,0.036
Yu-jun,M,0.034
Min-ho,M,0.032
Ji-won,M,0.03
Tae-yang,M,0.028
Hyun-woo,M,0.027
Seung-hyun,M,0.026
Jin-woo,M,0.025
Jae-hoon,M,0.024
Jun-seo,M,0.023
Dong-hyun,M,0.022
Sang-hoon,M,0.021
Woo-jin,M,0.02
Chang-min,M,0.019
Kyung-ho,M,0.018
Young-ho,M,0.017
Sung-min,M,0.016
Jae-sung,M,0.015
Min-soo,M,0.014
Jung-hoon,M,0.013
Byung-ho,M,0.012
Kwang-soo,M,0.011
Tae-hyung,M,0.01
Seo-yeon,F,0.055
Min-seo,F,0.05
Ji-woo,F,0.048
Ha-eun,F,0.045
Seo-hyun,F,0.042
Ji-ah,F,0.04
Ye-eun,F,0.038
Yoon-seo,F,0.036
Chae-won,F,0.034
Su-bin,F,0.032
Ji-yeon,F,0.03
Min-ji,F,0.028
Hye-jin,F,0.027
Soo-jin,F,0.026
Mi-young,F,0.025
Eun-ji,F,0.024
Bo-ra,F,0.023
Na-young,F,0.022
Hye-won,F,0.021
Yoo-jin,F,0.02
Sun-hee,F,0.019
Jung-ah,F,0.018
Mi-sun,F,0.017
Kyung-hee,F,0.016
So-young,F,0.015
Young-hee,F,0.014
Ji-hyun,F,0.013
Eun-hee,F,0.012
Jin-hee,F,0.011
Hae-won,F,0.01
