name,gender,probability
Mohamed,M,0.11
Youssef,M,0.085
Omar,M,0.075
Amine,M,0.07
Ahmed,M,0.065
Hamza,M,0.06
Adam,M,0.055
Mehdi,M,0.05
Ayoub,M,0.048
Ali,M,0.045
Ibrahim,M,0.042
Amir,M,0.04
Ilyas,M,0.038
Othmane,M,0.036
Anass,M,0.034
Saad,M,0.032
Karim,M,0.03
Zakaria,M,0.028
Rayan,M,0.027
Walid,M,0.026
Bilal,M,0.025
Achraf,M,0.024
Tarik,M,0.023
Nabil,M,0.022
Hassan,M,0.021
Hicham,M,0.02
Adil,M,0.019
Mustapha,M,0.018
Rachid,M,0.017
Said,M,0.016
Fatima,F,0.085
Maryam,F,0.08
Sara,F,0.075
Salma,F,0.07
Amina,F,0.065
Yasmine,F,0.06
Aya,F,0.055
Zineb,F,0.05
Imane,F,0.048
Nour,F,0.045
Khadija,F,0.042
Ines,F,0.04
Asma,F,0.038
Meriem,F,0.036
Houda,F,0.034
Rim,F,0.032
Soukaina,F,0.03
Douae,F,0.028
Asmaa,F,0.027
Ikram,F,0.026
Hanane,F,0.025
Samira,F,0.024
Latifa,F,0.023
Amal,F,0.022
Malika,F,0.021
Hafsa,F,0.02
Ghita,F,0.019
Rajae,F,0.018
Sanaa,F,0.017
Wafae,F,0.016
