name,gender,probability
Aung,M,0.07
Win,M,0.065
Kyaw,M,0.06
Min,M,0.055
Tun,M,0.05
Zaw,M,0.045
Htet,M,0.042
Myo,M,0.04
Thant,M,0.038
Phyo,M,0.036
Khin,M,0.034
Nay,M,0.032
Hein,M,0.03
Soe,M,0.028
Htun,M,0.027
Than,M,0.026
Ko,M,0.025
Lin,M,0.024
Myint,M,0.023
Naing,M,0.022
Oo,M,0.021
Ye,M,0.02
Maung,M,0.019
Thiha,M,0.018
Sithu,M,0.017
Wai,M,0.016
Paing,M,0.015
Hla,M,0.014
Phone,M,0.013
Yan,M,0.012
Khin,F,0.07
May,F,0.065
Su,F,0.06
Ei,F,0.055
Moe,F,0.05
Thida,F,0.045
Sandi,F,0.042
Myat,F,0.04
Htet,F,0.038
Wai,F,0.036
Hnin,F,0.034
Thin,F,0.032
Yi,F,0.03
Kyi,F,0.028
Phyu,F,0.027
Mon,F,0.026
Nwe,F,0.025
Aye,F,0.024
Nu,F,0.023
Hla,F,0.022
Win,F,0.021
Cho,F,0.02
Zar,F,0.019
Thandar,F,0.018
Pyone,F,0.017
Shwe,F,0.016
Yin,F,0.015
Thiri,F,0.014
Sandar,F,0.013
Yati,F,0.012
