name,gender,probability
Mohammed,M,0.075
Ibrahim,M,0.07
Musa,M,0.065
Abubakar,M,0.06
Usman,M,0.055
Emmanuel,M,0.05
David,M,0.048
Sunday,M,0.045
John,M,0.042
Joseph,M,0.04
James,M,0.038
Samuel,M,0.036
Daniel,M,0.034
Michael,M,0.032
Abdul,M,0.03
Aliyu,M,0.028
Umar,M,0.027
Sani,M,0.026
Ahmed,M,0.025
Peter,M,0.024
Chukwu,M,0.023
Adeola,M,0.022
Adewale,M,0.021
Oluwaseun,M,0.02
Tunde,M,0.019
Chibueze,M,0.018
Chinedu,M,0.017
Emeka,M,0.016
Ifeanyi,M,0.015
Obinna,M,0.014
Fatima,F,0.075
Blessing,F,0.07
Aisha,F,0.065
Mary,F,0.06
Grace,F,0.055
Esther,F,0.05
Amina,F,0.048
Zainab,F,0.045
Joy,F,0.042
Faith,F,0.04
Patience,F,0.038
Mercy,F,0.036
Elizabeth,F,0.034
Sarah,F,0.032
Maryam,F,0.03
Hadiza,F,0.028
Hauwa,F,0.027
Peace,F,0.026
Chioma,F,0.025
Ngozi,F,0.024
Nkechi,F,0.023
Adeola,F,0.022
Funmilayo,F,0.021
Oluwaseun,F,0.02
Adetoun,F,0.019
Ifeoma,F,0.018
Amarachi,F,0.017
Chiamaka,F,0.016
Onyinye,F,0.015
Chidinma,F,0.014
