name,gender,probability
Joshua,M,0.06
John,M,0.058
Mark,M,0.055
Michael,M,0.052
Angelo,M,0.05
James,M,0.048
Christian,M,0.045
Daniel,M,0.042
Carl,M,0.04
Rafael,M,0.038
Gabriel,M,0.036
Nathan,M,0.034
Justin,M,0.032
Joseph,M,0.03
Emmanuel,M,0.028
David,M,0.027
Andrei,M,0.026
Kyle,M,0.025
Kevin,M,0.024
Jason,M,0.023
Ryan,M,0.022
Paulo,M,0.021
Miguel,M,0.02
Jeremiah,M,0.019
Jerick,M,0.018
Adrian,M,0.017
Carlos,M,0.016
Renz,M,0.015
Martin,M,0.014
Jomar,M,0.013
Maria,F,0.08
Mary,F,0.06
Angel,F,0.055
Princess,F,0.05
Nicole,F,0.048
Andrea,F,0.045
Sophia,F,0.042
Isabella,F,0.04
Angelica,F,0.038
Kimberly,F,0.036
Patricia,F,0.034
Christine,F,0.032
Jennifer,F,0.03
Michelle,F,0.028
Sarah,F,0.027
Catherine,F,0.026
Lovely,F,0.025
Anna,F,0.024
Mae,F,0.023
Joy,F,0.022
Grace,F,0.021
Rica,F,0.02
Precious,F,0.019
Jessa,F,0.018
Jasmine,F,0.017
Camille,F,0.016
Aira,F,0.015
Rhea,F,0.014
Faith,F,0.013
Maricar,F,0.012
