name,gender,probability
Muhammad,M,0.15
Ali,M,0.09
Hassan,M,0.07
Hussain,M,0.065
Ahmed,M,0.06
Usman,M,0.055
Abdullah,M,0.05
Omar,M,0.045
Ibrahim,M,0.042
Hamza,M,0.04
Bilal,M,0.038
Imran,M,0.036
Faisal,M,0.034
Shahid,M,0.032
Tariq,M,0.03
Saeed,M,0.028
Khalid,M,0.027
Arslan,M,0.026
Fahad,M,0.025
Kamran,M,0.024
Rizwan,M,0.023
Zain,M,0.022
Farhan,M,0.021
Asif,M,0.02
Waqas,M,0.019
Adnan,M,0.018
Junaid,M,0.017
Salman,M,0.016
Umer,M,0.015
Talha,M,0.014
Fatima,F,0.09
Ayesha,F,0.08
Zainab,F,0.07
Maryam,F,0.065
Khadija,F,0.06
Aisha,F,0.055
Sara,F,0.05
Hira,F,0.045
Amina,F,0.042
Zara,F,0.04
Laiba,F,0.038
Aliza,F,0.036
Mahnoor,F,0.034
Hafsa,F,0.032
Sana,F,0.03
Nida,F,0.028
Farah,F,0.027
Nimra,F,0.026
Arooj,F,0.025
Saba,F,0.024
Maria,F,0.023
Sidra,F,0.022
Rabia,F,0.021
Iqra,F,0.02
Hina,F,0.019
Noor,F,0.018
Amber,F,0.017
Sadia,F,0.016
Mehwish,F,0.015
Bushra,F,0.014
