name,gender,probability
Jakub,M,0.055
Jan,M,0.05
Antoni,M,0.048
Szymon,M,0.045
Franciszek,M,0.042
Filip,M,0.04
Aleksander,M,0.038
Mikolaj,M,0.036
Wojciech,M,0.034
Kacper,M,0.032
Adam,M,0.03
Bartosz,M,0.028
Mateusz,M,0.027
Michal,M,0.026
Oskar,M,0.025
Igor,M,0.024
Oliwier,M,0.023
Tomasz,M,0.022
Piotr,M,0.021
Maksymilian,M,0.02
Krzysztof,M,0.019
Dawid,M,0.018
Marcel,M,0.017
Patryk,M,0.016
Kamil,M,0.015
Karol,M,0.014
Pawel,M,0.013
Lukasz,M,0.012
Marek,M,0.011
Rafal,M,0.01
Zuzanna,F,0.055
Julia,F,0.05
Maja,F,0.048
Zofia,F,0.045
Hanna,F,0.042
Lena,F,0.04
Alicja,F,0.038
Oliwia,F,0.036
Natalia,F,0.034
Maria,F,0.032
Wiktoria,F,0.03
Amelia,F,0.028
Aleksandra,F,0.027
Emilia,F,0.026
Antonina,F,0.025
Magdalena,F,0.024
Karolina,F,0.023
Kinga,F,0.022
Dominika,F,0.021
Martyna,F,0.02
Weronika,F,0.019
Paulina,F,0.018
Anna,F,0.017
Agata,F,0.016
Joanna,F,0.015
Barbara,F,0.014
Katarzyna,F,0.013
Monika,F,0.012
Ewa,F,0.011
Beata,F,0.01
