name,gender,probability
Miguel,M,0.055
Arthur,M,0.05
Heitor,M,0.048
Ravi,M,0.045
Theo,M,0.042
Gabriel,M,0.04
Joao,M,0.038
Pedro,M,0.036
Lucas,M,0.034
Matheus,M,0.032
Rafael,M,0.03
Guilherme,M,0.028
Vitor,M,0.027
Felipe,M,0.026
Daniel,M,0.025
Bernardo,M,0.024
Leonardo,M,0.023
Samuel,M,0.022
Gustavo,M,0.021
Davi,M,0.02
Bruno,M,0.019
Thiago,M,0.018
Diego,M,0.017
Ricardo,M,0.016
Rodrigo,M,0.015
Fernando,M,0.014
Andre,M,0.013
Eduardo,M,0.012
Carlos,M,0.011
Marcelo,M,0.01
Helena,F,0.055
Cecilia,F,0.05
Alice,F,0.048
Valentina,F,0.045
Laura,F,0.042
Maria,F,0.04
Sophia,F,0.038
Manuela,F,0.036
Isabella,F,0.034
Julia,F,0.032
Ana,F,0.03
Luiza,F,0.028
Beatriz,F,0.027
Giovanna,F,0.026
Marina,F,0.025
Isabela,F,0.024
Leticia,F,0.023
Fernanda,F,0.022
Gabriela,F,0.021
Mariana,F,0.02
Larissa,F,0.019
Carolina,F,0.018
Camila,F,0.017
Amanda,F,0.016
Juliana,F,0.015
Rafaela,F,0.014
Paula,F,0.013
Bianca,F,0.012
Natalia,F,0.011
Vitoria,F,0.01
