name,gender,probability
Alexander,M,0.06
Sergey,M,0.055
Dmitry,M,0.05
Andrey,M,0.048
Alexey,M,0.045
Ivan,M,0.042
Vladimir,M,0.04
Mikhail,M,0.038
Nikolay,M,0.036
Yuri,M,0.034
Pavel,M,0.032
Maxim,M,0.03
Artem,M,0.028
Evgeny,M,0.027
Viktor,M,0.026
Denis,M,0.025
Roman,M,0.024
Oleg,M,0.023
Kirill,M,0.022
Igor,M,0.021
Anton,M,0.02
Konstantin,M,0.019
Ilya,M,0.018
Stanislav,M,0.017
Vadim,M,0.016
Anatoly,M,0.015
Boris,M,0.014
Grigory,M,0.013
Leonid,M,0.012
Ruslan,M,0.011
Elena,F,0.055
Olga,F,0.05
Tatiana,F,0.048
Natalia,F,0.045
Irina,F,0.042
Anna,F,0.04
Maria,F,0.038
Ekaterina,F,0.036
Svetlana,F,0.034
Yulia,F,0.032
Anastasia,F,0.03
Victoria,F,0.028
Daria,F,0.027
Oksana,F,0.026
Valentina,F,0.025
Galina,F,0.024
Ludmila,F,0.023
Vera,F,0.022
Nina,F,0.021
Alina,F,0.02
Yana,F,0.019
Polina,F,0.018
Alexandra,F,0.017
Marina,F,0.016
Larisa,F,0.015
Sofia,F,0.014
Nadezhda,F,0.013
Lyubov,F,0.012
Margarita,F,0.011
Ksenia,F,0.01
