name,gender,probability
Mohammed,M,0.11
Abdullah,M,0.09
Omar,M,0.075
Ali,M,0.07
Khalid,M,0.065
Faisal,M,0.06
Sultan,M,0.055
Fahad,M,0.05
Bandar,M,0.048
Turki,M,0.045
Saud,M,0.042
Abdulrahman,M,0.04
Salman,M,0.038
Nasser,M,0.036
Saad,M,0.034
Majed,M,0.032
Mansour,M,0.03
Nawaf,M,0.028
Talal,M,0.027
Fawaz,M,0.026
Mishaal,M,0.025
Rakan,M,0.024
Osama,M,0.023
Hamad,M,0.022
Ibrahim,M,0.021
Khaled,M,0.02
Ahmad,M,0.019
Yazeed,M,0.018
Abdulaziz,M,0.017
Waleed,M,0.016
Maha,F,0.075
Noura,F,0.07
Sara,F,0.065
Lama,F,0.06
Hessa,F,0.055
Fatima,F,0.05
Aisha,F,0.048
Abeer,F,0.045
Mona,F,0.042
Reem,F,0.04
Hanan,F,0.038
Nada,F,0.036
Lulwa,F,0.034
Basma,F,0.032
Joud,F,0.03
Shahad,F,0.028
Raghad,F,0.027
Ghada,F,0.026
Norah,F,0.025
Deema,F,0.024
Jana,F,0.023
Arwa,F,0.022
Layan,F,0.021
Rawan,F,0.02
Hind,F,0.019
Latifa,F,0.018
Mariam,F,0.017
Amani,F,0.016
Salwa,F,0.015
Jawaher,F,0.014
