name,gender,probability
Mohammed,M,0.11
Ahmed,M,0.09
Ali,M,0.08
Hassan,M,0.07
Omar,M,0.065
Ibrahim,M,0.06
Khalid,M,0.055
Osman,M,0.05
Mahmoud,M,0.048
Abdallah,M,0.045
Adam,M,0.042
Yousif,M,0.04
Mustafa,M,0.038
Salah,M,0.036
Omer,M,0.034
Abdel Rahman,M,0.032
Osama,M,0.03
Hamza,M,0.028
Tariq,M,0.027
Kamal,M,0.026
Waleed,M,0.025
Tayeb,M,0.024
Mahdi,M,0.023
Fadlallah,M,0.022
Jamal,M,0.021
Babiker,M,0.02
Awad,M,0.019
Bashir,M,0.018
Hashim,M,0.017
Gamal,M,0.016
Fatima,F,0.09
Aisha,F,0.08
Maryam,F,0.075
Samira,F,0.07
Amani,F,0.065
Hiba,F,0.06
Nada,F,0.055
Rana,F,0.05
Reem,F,0.048
Widad,F,0.045
Salma,F,0.042
Hanan,F,0.04
Sahar,F,0.038
Suad,F,0.036
Nour,F,0.034
Amal,F,0.032
Amira,F,0.03
Sana,F,0.028
Dina,F,0.027
Hala,F,0.026
Rawda,F,0.025
Zeinab,F,0.024
Rabab,F,0.023
Laila,F,0.022
Nahid,F,0.021
Bushra,F,0.02
Samah,F,0.019
Sawsan,F,0.018
Intisar,F,0.017
Muna,F,0.016
