name,gender,probability
Somchai,M,0.06
Somsak,M,0.055
Supachai,M,0.05
Sirichai,M,0.045
Wichai,M,0.042
Nattapong,M,0.04
Pongsakorn,M,0.038
Thanawat,M,0.036
Apirak,M,0.034
Chaiyaporn,M,0.032
Kritsada,M,0.03
Pattana,M,0.028
Yuttana,M,0.027
Santi,M,0.026
Narong,M,0.025
Kamol,M,0.024
Prasit,M,0.023
Somkid,M,0.022
Anan,M,0.021
Surasak,M,0.02
Preecha,M,0.019
Boonmee,M,0.018
Sak,M,0.017
Wasan,M,0.016
Vichai,M,0.015
Chaiwat,M,0.014
Chatchai,M,0.013
Prayut,M,0.012
Sompong,M,0.011
Kittisak,M,0.01
Siriporn,F,0.055
Pimchanok,F,0.05
Siriwan,F,0.048
Wanpen,F,0.045
Sirirat,F,0.042
Sumalee,F,0.04
Pensri,F,0.038
Panida,F,0.036
Busaba,F,0.034
Nittaya,F,0.032
Kanokwan,F,0.03
Saowanee,F,0.028
Phatcharee,F,0.027
Namfon,F,0.026
Wipada,F,0.025
Ratchanee,F,0.024
Chanida,F,0.023
Supaporn,F,0.022
Jiraporn,F,0.021
Narumon,F,0.02
Chutima,F,0.019
Orathai,F,0.018
Kulthida,F,0.017
Pranee,F,0.016
Somjit,F,0.015
Wilawan,F,0.014
Usa,F,0.013
Thida,F,0.012
Orawan,F,0.011
Chariya,F,0.01
