name,gender,probability
Mehmet,M,0.09
Mustafa,M,0.075
Ahmet,M,0.065
Ali,M,0.06
Yusuf,M,0.055
Emre,M,0.05
Murat,M,0.048
Hakan,M,0.045
Can,M,0.042
Omer,M,0.04
Ibrahim,M,0.038
Serkan,M,0.036
Burak,M,0.034
Cem,M,0.032
Deniz,M,0.03
Kemal,M,0.028
Furkan,M,0.027
Kaan,M,0.026
Berk,M,0.025
Onur,M,0.024
Efe,M,0.023
Eren,M,0.022
Baris,M,0.021
Halil,M,0.02
Osman,M,0.019
Selim,M,0.018
Volkan,M,0.017
Ismail,M,0.016
Emir,M,0.015
Taner,M,0.014
Ayse,F,0.085
Fatma,F,0.07
Zeynep,F,0.065
Elif,F,0.06
Emine,F,0.055
Hatice,F,0.05
Merve,F,0.048
Selin,F,0.045
Esra,F,0.042
Busra,F,0.04
Yasemin,F,0.038
Ebru,F,0.036
Gul,F,0.034
Deniz,F,0.032
Ipek,F,0.03
Burcu,F,0.028
Derya,F,0.027
Cansu,F,0.026
Irem,F,0.025
Defne,F,0.024
Asli,F,0.023
Melis,F,0.022
Neslihan,F,0.021
Tugba,F,0.02
Pelin,F,0.019
Damla,F,0.018
Ece,F,0.017
Seda,F,0.016
Nilüfer,F,0.015
Aylin,F,0.014
