name,gender,probability
John,M,0.065
Joseph,M,0.06
Emmanuel,M,0.055
Peter,M,0.05
Daniel,M,0.048
David,M,0.045
James,M,0.042
Paul,M,0.04
Moses,M,0.038
Samuel,M,0.036
Simon,M,0.034
Michael,M,0.032
Andrew,M,0.03
Juma,M,0.028
Hassan,M,0.027
Ali,M,0.026
Ally,M,0.025
Salum,M,0.024
Hamisi,M,0.023
Ramadhani,M,0.022
Selemani,M,0.021
Musa,M,0.02
Yusuph,M,0.019
Bakari,M,0.018
Issa,M,0.017
Rashid,M,0.016
Omari,M,0.015
Frank,M,0.014
Edward,M,0.013
Thomas,M,0.012
Mary,F,0.065
Joyce,F,0.06
Grace,F,0.055
Anna,F,0.05
Rose,F,0.048
Elizabeth,F,0.045
Sarah,F,0.042
Ruth,F,0.04
Agnes,F,0.038
Esther,F,0.036
Fatuma,F,0.034
Asha,F,0.032
Halima,F,0.03
Amina,F,0.028
Zainab,F,0.027
Mwanaidi,F,0.026
Neema,F,0.025
Upendo,F,0.024
Martha,F,0.023
Lucy,F,0.022
Janet,F,0.021
Jane,F,0.02
Happy,F,0.019
Rehema,F,0.018
Salome,F,0.017
Witness,F,0.016
Flora,F,0.015
Edith,F,0.014
Dorothy,F,0.013
Christina,F,0.012
