name,gender,probability
John,M,0.065
James,M,0.06
Joseph,M,0.055
Paul,M,0.05
Moses,M,0.048
David,M,0.045
Samuel,M,0.042
Peter,M,0.04
Michael,M,0.038
Isaac,M,0.036
Patrick,M,0.034
Ronald,M,0.032
Brian,M,0.03
Steven,M,0.028
Emmanuel,M,0.027
Andrew,M,0.026
Simon,M,0.025
Fred,M,0.024
Julius,M,0.023
Daniel,M,0.022
Richard,M,0.021
Francis,M,0.02
Henry,M,0.019
Mark,M,0.018
Joshua,M,0.017
Benjamin,M,0.016
Alex,M,0.015
Dennis,M,0.014
Martin,M,0.013
Robert,M,0.012
Mary,F,0.065
Sarah,F,0.06
Grace,F,0.055
Betty,F,0.05
Rose,F,0.048
Jane,F,0.045
Ruth,F,0.042
Esther,F,0.04
Rebecca,F,0.038
Agnes,F,0.036
Florence,F,0.034
Juliet,F,0.032
Rachel,F,0.03
Joan,F,0.028
Lydia,F,0.027
Martha,F,0.026
Susan,F,0.025
Hellen,F,0.024
Margaret,F,0.023
Faith,F,0.022
Catherine,F,0.021
Christine,F,0.02
Harriet,F,0.019
Winnie,F,0.018
Josephine,F,0.017
Dorcas,F,0.016
Naomi,F,0.015
Joy,F,0.014
Patricia,F,0.013
Alice,F,0.012
