name,gender,probability
Oleksandr,M,0.065
Maksym,M,0.06
Dmytro,M,0.055
Artem,M,0.05
Ivan,M,0.048
Mykhailo,M,0.045
Andrii,M,0.042
Danylo,M,0.04
Vladyslav,M,0.038
Bohdan,M,0.036
Oleh,M,0.034
Serhii,M,0.032
Viktor,M,0.03
Yaroslav,M,0.028
Roman,M,0.027
Pavlo,M,0.026
Denys,M,0.025
Yevhen,M,0.024
Taras,M,0.023
Vitalii,M,0.022
Vasyl,M,0.021
Mykola,M,0.02
Volodymyr,M,0.019
Ruslan,M,0.018
Ihor,M,0.017
Anatolii,M,0.016
Illia,M,0.015
Petro,M,0.014
Yurii,M,0.013
Kostiantyn,M,0.012
Mariia,F,0.065
Olena,F,0.06
Anna,F,0.055
Viktoriia,F,0.05
Kateryna,F,0.048
Anastasiia,F,0.045
Dariia,F,0.042
Sofiia,F,0.04
Yelyzaveta,F,0.038
Yuliia,F,0.036
Nataliia,F,0.034
Iryna,F,0.032
Tetiana,F,0.03
Oksana,F,0.028
Svitlana,F,0.027
Olha,F,0.026
Alina,F,0.025
Diana,F,0.024
Valeriia,F,0.023
Veronika,F,0.022
Liudmyla,F,0.021
Halyna,F,0.02
Larysa,F,0.019
Tamara,F,0.018
Nina,F,0.017
Alla,F,0.016
Liubov,F,0.015
Hanna,F,0.014
Maryna,F,0.013
Inna,F,0.012
