name,gender,probability
Nguyen,M,0.07
Minh,M,0.065
Hoang,M,0.06
Tuan,M,0.055
Anh,M,0.05
Hung,M,0.045
Quan,M,0.042
Duc,M,0.04
Long,M,0.038
Hieu,M,0.036
Khoa,M,0.034
Phong,M,0.032
Bao,M,0.03
Duy,M,0.028
Thanh,M,0.027
Nam,M,0.026
Linh,M,0.025
Thai,M,0.024
Khanh,M,0.023
Tung,M,0.022
Thang,M,0.021
Vinh,M,0.02
Hai,M,0.019
An,M,0.018
Tam,M,0.017
Tai,M,0.016
Vuong,M,0.015
Dat,M,0.014
Trung,M,0.013
Phuc,M,0.012
Lan,F,0.065
Huong,F,0.06
Linh,F,0.055
Anh,F,0.05
Thanh,F,0.048
Tuyet,F,0.045
Thuy,F,0.042
Van,F,0.04
Hong,F,0.038
Nga,F,0.036
Phuong,F,0.034
Mai,F,0.032
Ha,F,0.03
Hoa,F,0.028
Nhi,F,0.027
Trang,F,0.026
Yen,F,0.025
Thao,F,0.024
Ngoc,F,0.023
Thu,F,0.022
Quynh,F,0.021
Chau,F,0.02
Khue,F,0.019
My,F,0.018
Trinh,F,0.017
Xuan,F,0.016
Diem,F,0.015
Binh,F,0.014
Kim,F,0.013
Loan,F,0.012
