name,gender,probability
Thabo,M,0.055
Sipho,M,0.05
John,M,0.048
Johannes,M,0.045
David,M,0.042
Michael,M,0.04
Peter,M,0.038
James,M,0.036
Lucky,M,0.034
Gift,M,0.032
Simon,M,0.03
Joseph,M,0.028
Welcome,M,0.027
Mandla,M,0.026
Sello,M,0.025
Themba,M,0.024
Patrick,M,0.023
Robert,M,0.022
Daniel,M,0.021
Samuel,M,0.02
Bongani,M,0.019
Nkululeko,M,0.018
Simphiwe,M,0.017
Andries,M,0.016
Pieter,M,0.015
Jan,M,0.014
Hendrik,M,0.013
Willem,M,0.012
Gerhard,M,0.011
Frans,M,0.01
Nomsa,F,0.055
Thandi,F,0.05
Mary,F,0.048
Maria,F,0.045
Elizabeth,F,0.042
Grace,F,0.04
Sarah,F,0.038
Anna,F,0.036
Precious,F,0.034
Beauty,F,0.032
Faith,F,0.03
Hope,F,0.028
Ntombifuthi,F,0.027
Sibongile,F,0.026
Nokulunga,F,0.025
Zanele,F,0.024
Lindiwe,F,0.023
Thembi,F,0.022
Noluthando,F,0.021
Rose,F,0.02
Annamarie,F,0.019
Elna,F,0.018
Marietjie,F,0.017
Susan,F,0.016
Elize,F,0.015
Martha,F,0.014
Rachel,F,0.013
Ruth,F,0.012
Sanele,F,0.011
Zinhle,F,0.01
