name,gender,probability
Wei,M,0.055
Chao,M,0.05
Yang,M,0.048
Lei,M,0.045
Jie,M,0.042
Tao,M,0.04
Ming,M,0.038
Peng,M,0.036
Hao,M,0.035
Qiang,M,0.033
Jun,M,0.032
Bo,M,0.03
Hui,M,0.029
Long,M,0.028
Feng,M,0.027
Yong,M,0.026
Gang,M,0.025
Cheng,M,0.024
Dong,M,0.023
Kun,M,0.022
Xin,M,0.021
Bin,M,0.02
Jianguo,M,0.019
Jianjun,M,0.018
Guoqiang,M,0.017
Yue,M,0.016
Zhi,M,0.015
Jiang,M,0.014
Chen,M,0.013
Zhong,M,0.012
Li,F,0.052
Fang,F,0.05
Yan,F,0.048
Xiu,F,0.045
Min,F,0.043
Jing,F,0.04
Ying,F,0.038
Na,F,0.036
Hui,F,0.035
Juan,F,0.033
Hong,F,0.032
Xia,F,0.03
Qing,F,0.029
Mei,F,0.028
Yun,F,0.027
Ling,F,0.026
Xue,F,0.025
Jie,F,0.024
Ning,F,0.023
Ping,F,0.022
Rui,F,0.021
Lan,F,0.02
Shu,F,0.019
Yue,F,0.018
Yu,F,0.017
Xin,F,0.016
Dan,F,0.015
Ya,F,0.014
Wen,F,0.013
Qian,F,0.012
